"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-04-25",50175,1627,2516,14415,2305,57343,110710,4369714,230971,227,5266,942051,35760,56,5494050,272879
"2020-04-24",48548,1972,2468,14605,2372,57324,108405,4138743,201560,227,5187,906291,34208,56,5221171,241400
"2020-04-23",46576,1814,2428,14744,2827,59216,106033,3937183,171462,227,5464,872083,31964,56,4979771,211889
"2020-04-22",44762,2082,2370,15013,3097,59212,103206,3765721,296094,227,5474,840119,29187,56,4767882,343424
"2020-04-21",42680,2481,2315,14941,2733,59773,100109,3469627,127555,214,5514,810932,26039,56,4424458,167022
"2020-04-20",40199,1815,2193,14463,2311,56734,97376,3342072,115127,214,5567,784893,25947,56,4257436,144800
"2020-04-19",38384,1763,2145,14385,2162,56497,95065,3226945,126980,214,5603,758946,27530,56,4112636,147409
"2020-04-18",36621,1891,2096,14769,3449,57788,92903,3099965,124234,205,5729,731416,27960,56,3965227,167339
"2020-04-17",34730,2118,2052,14890,3366,58886,89454,2975731,127110,187,6096,703456,31960,56,3797888,168083
"2020-04-16",32612,2197,1834,15130,3165,59498,86088,2848621,139799,176,5940,671496,31570,56,3629805,182523
"2020-04-15",30415,2546,1783,14646,3510,59924,82923,2708822,113041,223,6032,639926,29902,56,3447282,151450
"2020-04-14",27869,2353,1715,14039,3174,59600,79413,2595781,122328,221,5975,610024,25866,56,3295832,158130
"2020-04-13",25516,1630,1622,13620,4480,56237,76239,2473453,100964,208,6168,584158,24182,56,3137702,125226
"2020-04-12",23886,1700,1449,13620,3331,55449,71759,2372489,111506,158,5968,559976,28221,56,3012476,138625
"2020-04-11",22186,2079,1399,13285,3747,55557,68428,2260983,115661,152,5978,531755,31313,56,2873851,147951
"2020-04-10",20107,2072,1179,12693,4909,53167,64681,2145322,118644,39,5937,500442,33526,56,2725900,159257
"2020-04-09",18035,2062,918,12450,3831,51313,59772,2026678,139769,39,5794,466916,35140,56,2566643,174876
"2020-04-08",15973,1997,862,10337,4321,45515,55941,1886909,122297,39,4131,431776,30968,56,2391767,163405
"2020-04-07",13976,2044,738,9978,2997,43849,51620,1764612,129209,43,4076,400808,30461,56,2228362,166218
"2020-04-06",11932,1313,663,7079,2943,36159,48623,1635403,114177,39,2961,370347,28238,56,2062144,138103
"2020-04-05",10619,1339,609,5811,3937,32180,45680,1521226,92363,39,652,342109,25879,56,1924041,121457
"2020-04-04",9280,1481,403,5500,5012,30268,41743,1428863,196973,39,656,316230,33085,56,1802584,232891
"2020-04-03",7799,1285,335,4928,4603,25777,36731,1231890,104536,39,623,283145,31873,56,1569693,140203
"2020-04-02",6514,1178,305,4513,4198,22997,32128,1127354,99272,32,574,251272,28107,56,1429490,126699
"2020-04-01",5336,1004,256,3937,4134,20906,27930,1028082,86693,32,561,223165,26233,56,1302791,120399
"2020-03-31",4332,907,230,3487,3998,18155,23796,941389,88242,,507,196932,24963,56,1182392,115189
"2020-03-30",3425,588,187,3087,2472,15917,19798,853147,88322,,451,171969,21191,56,1067203,102402
"2020-03-29",2837,504,156,2456,2794,14055,17326,764825,68750,,439,150778,19668,56,964801,85608
"2020-03-28",2333,551,140,2174,2409,12409,14532,696075,104467,,390,131110,19749,56,879193,110937
"2020-03-27",1782,408,124,1792,2572,10978,12123,591608,82236,,324,111361,19223,56,768256,99749
"2020-03-26",1374,316,91,1299,2478,7805,9551,509372,85360,,258,92138,17734,56,668507,105660
"2020-03-25",1058,238,74,,1949,5140,7073,424012,75575,,167,74404,12613,56,562847,82632
"2020-03-24",820,238,,,1178,3938,5124,348437,64160,,,61791,10870,56,480215,80042
"2020-03-23",582,101,,,920,2812,3946,284277,46963,,,50921,11175,56,400173,59711
"2020-03-22",481,146,,,1005,2173,3026,237314,35604,,,39746,9270,56,340462,50747
"2020-03-21",335,62,,,1849,1492,2021,201710,43540,,,30476,6906,56,289715,55955
"2020-03-20",273,70,,,44,1042,172,158170,31793,,,23570,6115,56,233760,47796
"2020-03-19",203,48,,,34,617,128,126377,26789,,,17455,4599,56,185964,39647
"2020-03-18",155,31,,,18,416,94,99588,21416,,,12856,3377,56,146317,32706
"2020-03-17",124,24,,,33,325,76,78172,17806,,,9479,2093,56,113611,26689
"2020-03-16",100,21,,,6,,43,60366,20086,,,7386,1712,56,86922,25386
"2020-03-15",79,15,,,10,,37,40280,6574,,,5674,1295,51,61536,10084
"2020-03-14",64,8,,,4,,27,33706,6210,,,4379,1014,51,51452,10055
"2020-03-13",56,5,,,6,,23,27496,6865,,,3365,854,51,41397,10084
"2020-03-12",51,8,,,5,,17,20631,5605,,,2511,679,51,31313,7002
"2020-03-11",43,6,,,3,,12,15026,3940,,,1832,423,51,24311,4749
"2020-03-10",37,2,,,0,,9,11086,2668,,,1409,389,51,19562,3221
"2020-03-09",35,4,,,3,,9,8418,1813,,,1020,269,51,16341,2157
"2020-03-08",31,4,,,0,,6,6605,918,,,751,173,51,14184,1173
"2020-03-07",27,1,,,0,,6,5687,738,,,578,141,51,13011,981
"2020-03-06",26,6,,,1,,6,4949,2056,,,437,132,39,12030,2239
"2020-03-05",20,4,,,1,,5,2893,1476,,,305,62,30,9791,1594
"2020-03-04",16,2,,,4,,4,1417,965,,,243,129,24,8197,1026
"2020-03-03",14,3,,,0,,,452,209,,,114,42,14,7171,298
"2020-03-02",11,3,,,0,,,243,158,,,72,30,11,6873,212
"2020-03-01",8,3,,,0,,,85,61,,,42,24,10,6661,109
"2020-02-29",5,1,,,0,,,24,24,,,18,3,7,6552,62
"2020-02-28",4,2,,,0,,,0,0,,,15,2,7,6490,3
"2020-02-27",2,0,,,0,,,0,0,,,13,1,7,6487,6446
"2020-02-26",2,2,,,0,,,0,0,,,12,2,6,41,0
"2020-02-25",0,0,,,0,,,0,0,,,10,1,6,41,1
"2020-02-24",0,0,,,0,,,0,0,,,9,1,6,40,2
"2020-02-23",0,0,,,0,,,0,0,,,8,1,6,38,0
"2020-02-22",0,0,,,0,,,0,0,,,7,0,6,38,1
"2020-02-21",0,0,,,0,,,0,0,,,7,0,6,37,1
"2020-02-20",0,0,,,0,,,0,0,,,7,0,6,36,1
"2020-02-19",0,0,,,0,,,0,0,,,7,0,6,35,6
"2020-02-18",0,0,,,0,,,0,0,,,7,0,6,29,0
"2020-02-17",0,0,,,0,,,0,0,,,7,0,6,29,1
"2020-02-16",0,0,,,0,,,0,0,,,7,0,6,28,2
"2020-02-15",0,0,,,0,,,0,0,,,7,0,6,26,4
"2020-02-14",0,0,,,0,,,0,0,,,7,1,5,22,0
"2020-02-13",0,0,,,0,,,0,0,,,6,1,5,22,1
"2020-02-12",0,0,,,0,,,0,0,,,5,0,5,21,1
"2020-02-11",0,0,,,0,,,0,0,,,5,0,5,20,1
"2020-02-10",0,0,,,0,,,0,0,,,5,0,5,19,1
"2020-02-09",,0,,,0,,,0,0,,,5,0,4,18,0
"2020-02-08",,0,,,0,,,0,0,,,5,0,4,18,2
"2020-02-07",,0,,,0,,,0,0,,,5,0,4,16,0
"2020-02-06",,0,,,0,,,0,0,,,5,2,4,16,1
"2020-02-05",,0,,,0,,,0,0,,,3,0,4,15,0
"2020-02-04",,0,,,0,,,0,0,,,3,0,4,15,4
"2020-02-03",,0,,,0,,,0,0,,,3,1,4,11,3
"2020-02-02",,0,,,0,,,0,0,,,2,0,4,8,0
"2020-02-01",,0,,,0,,,0,0,,,2,0,4,8,0
"2020-01-31",,0,,,0,,,0,0,,,2,0,4,8,3
"2020-01-30",,0,,,0,,,0,0,,,2,0,4,5,0
"2020-01-29",,0,,,0,,,0,0,,,2,0,4,5,2
"2020-01-28",,0,,,0,,,0,0,,,2,0,3,3,0
"2020-01-27",,0,,,0,,,0,0,,,2,0,3,3,1
"2020-01-26",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-25",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-24",,0,,,0,,,0,0,,,2,0,2,2,0
"2020-01-23",,0,,,0,,,0,0,,,2,0,2,2,1
"2020-01-22",,0,,,0,,,0,0,,,2,0,2,1,1
"2020-01-21",,0,,,0,,,,0,,,2,1,1,0,0
"2020-01-20",,0,,,0,,,,0,,,1,0,1,0,0
"2020-01-19",,0,,,0,,,,0,,,1,1,1,0,0
"2020-01-18",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-17",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-16",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-15",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-14",,0,,,0,,,,0,,,0,0,1,0,0
"2020-01-13",,0,,,0,,,,0,,,,0,1,0,0
